"trainer/global_step","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX","Grouped runs - valid_vdc_acc","Grouped runs - valid_vdc_acc__MIN","Grouped runs - valid_vdc_acc__MAX","Grouped runs - train_vdc_acc","Grouped runs - train_vdc_acc__MIN","Grouped runs - train_vdc_acc__MAX"
"9","1","1","1","","","","0.0515625","0.0515625","0.0515625"
"19","2","2","2","","","","0.062109375","0.062109375","0.062109375"
"29","3","3","3","","","","0.053515625","0.053515625","0.053515625"
"39","4","4","4","","","","0.05234375","0.05234375","0.05234375"
"49","5","5","5","","","","0.09453125","0.09453125","0.09453125"
"59","6","6","6","","","","0.07734375","0.07734375","0.07734375"
"69","7","7","7","","","","0.094140625","0.094140625","0.094140625"
"79","8","8","8","","","","0.1375","0.1375","0.1375"
"89","9","9","9","","","","0.059765625","0.059765625","0.059765625"
"99","10","10","10","","","","0.0703125","0.0703125","0.0703125"
"109","11","11","11","","","","0.09921875","0.09921875","0.09921875"
"119","12","12","12","","","","0.08125","0.08125","0.08125"
"129","13","13","13","","","","0.1140625","0.1140625","0.1140625"
"139","14","14","14","","","","0.133984375","0.133984375","0.133984375"
"149","15","15","15","","","","0.1046875","0.1046875","0.1046875"
"159","16","16","16","","","","0.081640625","0.081640625","0.081640625"
"169","17","17","17","","","","0.07265625","0.07265625","0.07265625"
"179","18","18","18","","","","0.1015625","0.1015625","0.1015625"
"189","19","19","19","","","","0.13984375","0.13984375","0.13984375"
"199","20","20","20","","","","0.083984375","0.083984375","0.083984375"
"209","21","21","21","","","","0.123046875","0.123046875","0.123046875"
"219","22","22","22","","","","0.065234375","0.065234375","0.065234375"
"229","23","23","23","","","","0.158984375","0.158984375","0.158984375"
"239","24","24","24","","","","0.07265625","0.07265625","0.07265625"
"249","25","25","25","","","","0.14140625","0.14140625","0.14140625"
"259","26","26","26","","","","0.16640625","0.16640625","0.16640625"
"269","27","27","27","","","","0.158203125","0.158203125","0.158203125"
"279","28","28","28","","","","0.146484375","0.146484375","0.146484375"
"289","29","29","29","","","","0.09765625","0.09765625","0.09765625"
"299","30","30","30","","","","0.11640625","0.11640625","0.11640625"
"309","31","31","31","","","","0.094140625","0.094140625","0.094140625"
"319","32","32","32","","","","0.128515625","0.128515625","0.128515625"
"329","33","33","33","","","","0.0984375","0.0984375","0.0984375"
"339","34","34","34","","","","0.155859375","0.155859375","0.155859375"
"349","35","35","35","","","","0.1515625","0.1515625","0.1515625"
"359","36","36","36","","","","0.16484375","0.16484375","0.16484375"
"369","37","37","37","","","","0.212109375","0.212109375","0.212109375"
"379","38","38","38","","","","0.138671875","0.138671875","0.138671875"
"389","39","39","39","","","","0.103515625","0.103515625","0.103515625"
"399","40","40","40","","","","0.14921875","0.14921875","0.14921875"
"409","41","41","41","","","","0.11484375","0.11484375","0.11484375"
"419","42","42","42","","","","0.1265625","0.1265625","0.1265625"
"423","43","43","43","0.09573236107826233","0.09573236107826233","0.09573236107826233","","",""
"429","45","45","45","","","","0.13203125","0.13203125","0.13203125"
"439","46","46","46","","","","0.116796875","0.116796875","0.116796875"
"449","47","47","47","","","","0.198828125","0.198828125","0.198828125"
"459","48","48","48","","","","0.196875","0.196875","0.196875"
"469","49","49","49","","","","0.141796875","0.141796875","0.141796875"
"479","50","50","50","","","","0.101171875","0.101171875","0.101171875"
"489","51","51","51","","","","0.160546875","0.160546875","0.160546875"
"499","52","52","52","","","","0.15078125","0.15078125","0.15078125"
"509","53","53","53","","","","0.1109375","0.1109375","0.1109375"
"519","54","54","54","","","","0.116796875","0.116796875","0.116796875"
"529","55","55","55","","","","0.08671875","0.08671875","0.08671875"
"539","56","56","56","","","","0.080078125","0.080078125","0.080078125"
"549","57","57","57","","","","0.09296875","0.09296875","0.09296875"
"559","58","58","58","","","","0.133203125","0.133203125","0.133203125"
"569","59","59","59","","","","0.16015625","0.16015625","0.16015625"
"579","60","60","60","","","","0.152734375","0.152734375","0.152734375"
